
============================
Hi, looks like you are running TensorFlow.js in Node.js. To speed things up dramatically, install our node backend, visit https://github.com/tensorflow/tfjs-node for more details. 
============================
frames requested 225   640x360  ar 1.778
pad: 256x144 at (0,56) in 256  -- bars 56px top and bottom

video           t     squash  letterbox
Ary1gIbaOTc     3622       2          2
Ary1gIbaOTc     3712       2          1
Ary1gIbaOTc     3802       1          1
Ary1gIbaOTc     3892       1          1
Ary1gIbaOTc     3982       1          1
Ary1gIbaOTc     4072       3          1
Ary1gIbaOTc     4162       1          2
Ary1gIbaOTc     4252       2          3
RcGyVTAoXEU        2       0          1
RcGyVTAoXEU       42       1          1
RcGyVTAoXEU       52       1          1
RcGyVTAoXEU       62       1          1
RcGyVTAoXEU       72       0          1
RcGyVTAoXEU       82       1          1
RcGyVTAoXEU       92       0          5
RcGyVTAoXEU      102       2          1
RcGyVTAoXEU      112       1          1
RcGyVTAoXEU      122       1          1
RcGyVTAoXEU      132       1          1
RcGyVTAoXEU      142       1          1
RcGyVTAoXEU      152       1          1
RcGyVTAoXEU      162       1          1
RcGyVTAoXEU      182       1          1
RcGyVTAoXEU      192       0          0
RcGyVTAoXEU      202       1          2
RcGyVTAoXEU      212       2          1
RcGyVTAoXEU      222       1          1
RcGyVTAoXEU      232       1          1
RcGyVTAoXEU      242       2          1
RcGyVTAoXEU      252       1          1
RcGyVTAoXEU      272       2          2
RcGyVTAoXEU      302       1          1
RcGyVTAoXEU      312       1          1
RcGyVTAoXEU      322       0          0
RcGyVTAoXEU      332       0          1
RcGyVTAoXEU      342       0          0
RcGyVTAoXEU      352       0          1
RcGyVTAoXEU      362       0          0
RcGyVTAoXEU      372       2          1
RcGyVTAoXEU      382       0          0
RcGyVTAoXEU      392       0          0
RcGyVTAoXEU      402       1          1
RcGyVTAoXEU      412       0          0
RcGyVTAoXEU      422       0          1
RcGyVTAoXEU      432       1          1
RcGyVTAoXEU      442       2          1
RcGyVTAoXEU      452       1          1
RcGyVTAoXEU      462       0          0
RcGyVTAoXEU      472       0          0
RcGyVTAoXEU      482       0          0
RcGyVTAoXEU      492       1          2
RcGyVTAoXEU      502       1          1
RcGyVTAoXEU      522       1          1
RcGyVTAoXEU      532       0          0
RcGyVTAoXEU      542       0          0
RcGyVTAoXEU      552       1          2

-- ADMISSION, through the SHIPPED gate, 225 frames --
  persons admitted   squash 373   letterbox 373   (+0.000%)
  frames where only ONE arm admits anybody:  letterbox 8   squash 1
  frames where one admits MORE:              letterbox 44   squash 47

-- GEOMETRY, 315 matched people --
  IoU between the two arms' boxes   p05 0.553  p50 0.918  p95 0.978
  top edge   letterbox - squash     p50 +0.000
  bottom edge                       p50 +0.000
  height                            p50 +0.000

-- SANITY --
  letterbox boxes outside 0..1: 0   (the inverse map holds)
